member_id,member_first_name,member_last_name,member_gender,member_age,member_email,member_phone,member_joined_datetime,member_type,member_status
1,James,Watson,Male,23,j.watson@randatmail.com,469-0097-31,2024/05/04 22:52:54,1,1
2,Daryl,Perry,Male,24,d.perry@randatmail.com,888-6823-40,2024/01/03 14:35:21,2,1
3,Lucia,Stevens,Female,18,l.stevens@randatmail.com,376-1825-53,2024/05/24 13:26:53,1,1
4,Brad,Perry,Male,22,b.perry@randatmail.com,057-8766-31,2023/11/13 2:50:46,1,1
5,Evelyn,Allen,Female,18,e.allen@randatmail.com,374-6599-86,2024/11/19 16:44:37,1,1
6,Chloe,Walker,Female,21,c.walker@randatmail.com,227-0184-99,2024/01/02 15:28:08,1,2
7,Martin,Murray,Male,25,m.murray@randatmail.com,410-4672-09,2024/11/27 16:38:59,2,1
8,Paige,Gray,Female,27,p.gray@randatmail.com,866-4975-63,2024/02/27 1:41:53,2,1
9,Ned,Owens,Male,22,n.owens@randatmail.com,597-2767-10,2023/09/28 15:30:12,2,1
10,Caroline,Gray,Female,28,c.gray@randatmail.com,390-0648-10,2023/02/02 2:06:39,2,1
11,David,Mason,Male,18,d.mason@randatmail.com,167-9383-23,2023/03/31 5:06:41,3,1
12,Ned,Wilson,Male,29,n.wilson@randatmail.com,931-9797-89,2023/06/11 16:46:23,3,1
13,Sawyer,Carroll,Male,29,s.carroll@randatmail.com,761-1166-31,2024/09/16 11:39:28,3,2
14,Roland,Perry,Male,22,r.perry@randatmail.com,806-3980-70,2022/12/31 1:36:19,3,1
15,Chloe,Mason,Female,30,c.mason@randatmail.com,501-3343-02,2023/02/12 1:41:53,2,1
16,Chester,Cunningham,Male,22,c.cunningham@randatmail.com,895-3268-34,2024/03/05 14:15:02,2,1
17,Dainton,Johnston,Male,29,d.johnston@randatmail.com,568-8309-53,2024/01/05 22:38:21,2,1
18,Naomi,Hawkins,Female,20,n.hawkins@randatmail.com,723-0224-84,2024/05/19 9:41:21,2,2
19,Audrey,Cameron,Female,28,a.cameron@randatmail.com,185-6898-30,2023/09/09 19:01:56,2,1
20,Ada,Barrett,Female,27,a.barrett@randatmail.com,099-1352-82,2024/10/11 6:34:18,3,1
21,Ted,Douglas,Male,30,t.douglas@randatmail.com,513-1332-68,2023/02/06 15:34:38,2,1
22,Alfred,Ellis,Male,19,a.ellis@randatmail.com,169-6288-93,2024/07/26 23:31:40,2,2
23,Elian,Allen,Male,23,e.allen@randatmail.com,296-3453-42,2024/08/27 16:19:38,2,1
24,Ned,Rogers,Male,26,n.rogers@randatmail.com,922-8176-58,2024/11/09 0:54:19,3,1
25,Victor,Armstrong,Male,21,v.armstrong@randatmail.com,590-6708-90,2023/06/24 21:38:19,1,1
26,James,Edwards,Male,29,j.edwards@randatmail.com,573-4619-37,2024/07/09 0:20:49,1,1
27,Penelope,Mason,Female,26,p.mason@randatmail.com,943-9816-30,2023/06/26 2:50:01,2,1
28,Jenna,Andrews,Female,18,j.andrews@randatmail.com,239-4564-37,2023/02/04 18:40:03,2,1
29,Paul,Kelly,Male,19,p.kelly@randatmail.com,450-8744-91,2024/11/27 3:54:11,2,1
30,Tiana,Grant,Female,18,t.grant@randatmail.com,895-0707-08,2023/07/27 3:59:59,3,1
31,Fenton,Hamilton,Male,21,f.hamilton@randatmail.com,629-3448-11,2023/05/18 15:58:50,3,1
32,Sabrina,Turner,Female,27,s.turner@randatmail.com,848-4745-17,2024/07/23 17:04:34,3,1
33,Rubie,Warren,Female,29,r.warren@randatmail.com,039-1069-25,2024/09/21 22:24:55,3,2
34,Tiana,Barrett,Female,20,t.barrett@randatmail.com,816-1222-66,2023/10/07 1:31:48,1,1
35,Aida,Williams,Female,25,a.williams@randatmail.com,101-1501-42,2024/07/13 19:11:11,4,1
36,Jasmine,Clark,Female,29,j.clark@randatmail.com,787-6828-44,2022/12/28 14:51:18,4,1
37,Nicholas,Barnes,Male,23,n.barnes@randatmail.com,797-6300-43,2023/03/10 13:12:29,2,2
38,Roman,Roberts,Male,21,r.roberts@randatmail.com,038-4826-35,2023/09/24 23:03:38,3,1
39,Jack,Wright,Male,25,j.wright@randatmail.com,917-0893-33,2024/11/10 6:21:28,3,1
40,Audrey,Martin,Female,27,a.martin@randatmail.com,137-8634-10,2023/07/25 21:31:50,3,1
41,Savana,Gray,Female,24,s.gray@randatmail.com,589-7193-13,2023/08/25 23:14:50,4,1
42,Daryl,Smith,Male,28,d.smith@randatmail.com,941-6623-05,2024/02/24 12:49:07,4,1
43,Ted,Alexander,Male,26,t.alexander@randatmail.com,969-9926-00,2023/10/10 7:41:41,2,1
44,Vivian,Moore,Female,22,v.moore@randatmail.com,787-7142-94,2023/04/03 20:17:34,2,1
45,Eddy,Wells,Male,21,e.wells@randatmail.com,183-4387-81,2023/03/24 13:27:12,2,1
46,Leonardo,Stevens,Male,25,l.stevens@randatmail.com,174-2668-24,2024/09/03 1:53:56,2,1
47,Stella,Brown,Female,18,s.brown@randatmail.com,655-5670-24,2024/01/14 10:36:09,1,1
48,Elise,Wright,Female,27,e.wright@randatmail.com,965-2309-74,2024/03/21 14:31:28,1,1
49,Justin,Cohen,Male,26,j.cohenght@randatmail.com,965-2309-74,2024/04/21 14:31:28,1,1
